ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              087                     110                     111        
Frame 0353    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0354    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0355    0001 0000000001000418  00001 0000000000000000  00001 0000000000000000
Frame 0356    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0357    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0358    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0359    0101 000000000721c800  00001 0000000000000000  00001 0000000000000000
Frame 0360    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0361    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0362    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0363    0001 0000000001800418  00001 0000000000000000  00001 0000000000000000
Frame 0364    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0365    0001 000000007fffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0366    0000 000000007fffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0367    0101 000000000721b400  00001 0000000000000000  00001 0000000000000000
Frame 0368    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0369    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0370    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0371    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0372    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0373    0001 000000002fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0374    0000 000000002fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0375    0101 0000000009f28400  00001 0000000000000000  00001 0000000000000000
Frame 0376    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0377    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0378    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0379    0001 0000000000000010  00001 0000000000000000  00001 0000000000000000
Frame 0380    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0381    0001 000000007befe7de  00000 0000000000000000  00000 0000000000000000
Frame 0382    0000 000000007befe7de  01101 0000000000000000  01101 0000000000000000
Frame 0383    0101 0000000006c1c000  00001 0000000000000000  00001 0000000000000000
Frame 0384    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0385    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0386    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0387    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0388    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0389    0001 000000003ff7e7fe  00000 0000000000000000  00000 0000000000000000
Frame 0390    0000 000000003ff7e7fe  01101 0000000000000000  01101 0000000000000000
Frame 0391    0101 0000000005d16c00  00001 0000000000000000  00001 0000000000000000
Frame 0392    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0393    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0394    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0395    0001 0000000000000410  00001 0000000000000000  00001 0000000000000000
Frame 0396    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0397    0001 000000007fff67fe  00000 0000000000000000  00000 0000000000000000
Frame 0398    0000 000000007fff67fe  01101 0000000000000000  01101 0000000000000000
Frame 0399    0101 0000000004e13400  00001 0000000000000000  00001 0000000000000000
Frame 0400    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0401    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0402    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0403    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0404    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0405    0001 000000007fdbc7fe  00000 0000000000000000  00000 0000000000000000
Frame 0406    0000 000000007fdbc7fe  01101 0000000000000000  01101 0000000000000000
Frame 0407    0101 0000000004815800  00001 0000000000000000  00001 0000000000000000
Frame 0408    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0409    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0410    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0411    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0412    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0413    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0414    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0415    0101 0000000005214400  00001 0000000000000000  00001 0000000000000000
Frame 0416    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0417    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0418    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0419    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0420    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0421    0001 0000000077ffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0422    0000 0000000077ffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0423    0101 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0424    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0425    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0426    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0427    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0428    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0429    0001 0000000057ffe7de  00000 0000000000000000  00000 0000000000000000
Frame 0430    0000 0000000057ffe7de  01101 0000000000000000  01101 0000000000000000
Frame 0431    0101 000000000b5555b0  00001 0000000000000000  00001 0000000000000000
Frame 0432    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0433    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0434    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0435    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0436    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0437    0001 0000000027ffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0438    0000 0000000027ffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0439    0101 00000000e02c909f  00001 0000000000000000  00001 0000000000000000
Frame 0440    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0441    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0442    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0443    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0444    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0445    0001 000000007fffe3de  00000 0000000000000000  00000 0000000000000000
Frame 0446    0000 000000007fffe3de  01101 0000000000000000  01101 0000000000000000
Frame 0447    0101 00000000ffffffff  00001 0000000000000000  00001 0000000000000000
Frame 0448    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0449    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0450    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0451    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0452    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0453    0001 000000007fffe1fe  00000 0000000000000000  00000 0000000000000000
Frame 0454    0000 000000007fffe1fe  01101 0000000000000000  01101 0000000000000000
Frame 0455    0101 0000000004913c00  00001 0000000000000000  00001 0000000000000000
Frame 0456    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0457    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0458    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0459    0001 0000000000000010  00001 0000000000000000  00001 0000000000000000
Frame 0460    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0461    0001 000000005ffec45e  00000 0000000000000000  00000 0000000000000000
Frame 0462    0000 000000005ffec45e  01101 0000000000000000  01101 0000000000000000
Frame 0463    0101 0000000004913800  00001 0000000000000000  00001 0000000000000000
Frame 0464    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0465    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0466    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0467    0001 0000000000000010  00001 0000000000000000  00001 0000000000000000
Frame 0468    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0469    0001 0000000013fe25be  00000 0000000000000000  00000 0000000000000000
Frame 0470    0000 0000000013fe25be  01101 0000000000000000  01101 0000000000000000
Frame 0471    0101 0000000005514400  00001 0000000000000000  00001 0000000000000000
Frame 0472    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0473    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0474    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0475    0001 0000000000000010  00001 0000000000000000  00001 0000000000000000
Frame 0476    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0477    0001 000000007ffee7fe  00000 0000000000000000  00000 0000000000000000
Frame 0478    0000 000000007ffee7fe  01101 0000000000000000  01101 0000000000000000
Frame 0479    0101 0000000005717400  00001 0000000000000000  00001 0000000000000000
Frame 0480    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0481    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0482    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0483    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0484    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0485    0001 000000004fffe31e  00000 0000000000000000  00000 0000000000000000
Frame 0486    0000 000000004fffe31e  01101 0000000000000000  01101 0000000000000000
Frame 0487    0101 000000000bc31c00  00001 0000000000000000  00001 0000000000000000
Frame 0488    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0489    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0490    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0491    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0492    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0493    0001 000000001bffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0494    0000 000000001bffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0495    0101 0000000004915400  00001 0000000000000000  00001 0000000000000000
Frame 0496    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0497    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0498    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0499    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0500    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0501    0001 000000003fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0502    0000 000000003fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0503    0101 000000000c734400  00001 0000000000000000  00001 0000000000000000
Frame 0504    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0505    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0506    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0507    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0508    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0509    0001 0000000049ffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0510    0000 0000000049ffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0511    0101 0000000004f15c00  00001 0000000000000000  00001 0000000000000000
Frame 0512    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0513    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0514    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0515    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0516    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0517    0001 000000007fffe3da  00000 0000000000000000  00000 0000000000000000
Frame 0518    0000 000000007fffe3da  01101 0000000000000000  01101 0000000000000000
Frame 0519    0101 0000000004b13c00  00001 0000000000000000  00001 0000000000000000
Frame 0520    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0521    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0522    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0523    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0524    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0525    0001 000000007fffe5f8  00000 0000000000000000  00000 0000000000000000
Frame 0526    0000 000000007fffe5f8  01101 0000000000000000  01101 0000000000000000
Frame 0527    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0528    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0529    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0530    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0531    0001 0000000001000018  00001 0000000000000000  00001 0000000000000000
Frame 0532    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0533    0001 0000000073e7e19c  00000 0000000000000000  00000 0000000000000000
Frame 0534    0000 0000000073e7e19c  01101 0000000000000000  01101 0000000000000000
Frame 0535    0101 0000000008623400  00001 0000000000000000  00001 0000000000000000
Frame 0536    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0537    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0538    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0539    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0540    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0541    0001 000000000befa3fe  00000 0000000000000000  00000 0000000000000000
Frame 0542    0000 000000000befa3fe  01101 0000000000000000  01101 0000000000000000
Frame 0543    0101 000000000bf2e000  00001 0000000000000000  00001 0000000000000000
Frame 0544    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0545    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0546    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0547    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0548    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0549    0001 000000006fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0550    0000 000000006fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0551    0101 000000003ffffc6b  00001 0000000000000000  00001 0000000000000000
Frame 0552    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0553    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0554    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0555    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0556    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0557    0001 00000000ffffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0558    0000 00000000ffffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0559    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0560    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0561    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0562    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0563    0001 0000000001800010  00001 0000000000000000  00001 0000000000000000
Frame 0564    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0565    0001 000000003fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0566    0000 000000003fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0567    0101 0000000019b64400  00001 0000000000000000  00001 0000000000000000
Frame 0568    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0569    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0570    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0571    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0572    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0573    0001 000000007fffe7de  00000 0000000000000000  00000 0000000000000000
Frame 0574    0000 000000007fffe7de  01101 0000000000000000  01101 0000000000000000
Frame 0575    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0576    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0577    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0578    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0579    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0580    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0581    0001 000000007fffe1fe  00000 0000000000000000  00000 0000000000000000
Frame 0582    0000 000000007fffe1fe  01101 0000000000000000  01101 0000000000000000
Frame 0583    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0584    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0585    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0586    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0587    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0588    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0589    0001 000000001fffe0fe  00000 0000000000000000  00000 0000000000000000
Frame 0590    0000 000000001fffe0fe  01101 0000000000000000  01101 0000000000000000
Frame 0591    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0592    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0593    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0594    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0595    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0596    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0597    0001 000000004fffe77e  00000 0000000000000000  00000 0000000000000000
Frame 0598    0000 000000004fffe77e  01101 0000000000000000  01101 0000000000000000
Frame 0599    0101 0000000005113400  00001 0000000000000000  00001 0000000000000000
Frame 0600    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0601    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0602    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0603    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0604    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0605    0001 000000003fffe2f8  00000 0000000000000000  00000 0000000000000000
Frame 0606    0000 000000003fffe2f8  01101 0000000000000000  01101 0000000000000000
Frame 0607    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0608    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0609    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0610    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0611    0001 0000000001000018  00001 0000000000000000  00001 0000000000000000
Frame 0612    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0613    0001 0000000003f8e05e  00000 0000000000000000  00000 0000000000000000
Frame 0614    0000 0000000003f8e05e  01101 0000000000000000  01101 0000000000000000
Frame 0615    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0616    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0617    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0618    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0619    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0620    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0621    0001 0000000007cee07e  00000 0000000000000000  00000 0000000000000000
Frame 0622    0000 0000000007cee07e  01101 0000000000000000  01101 0000000000000000
Frame 0623    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0624    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0625    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0626    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0627    0001 000000000100001a  00001 0000000000000000  00001 0000000000000000
Frame 0628    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0629    0001 0000000031f0e1be  00000 0000000000000000  00000 0000000000000000
Frame 0630    0000 0000000031f0e1be  01101 0000000000000000  01101 0000000000000000
Frame 0631    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0632    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0633    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0634    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0635    0001 0000000021000418  00001 0000000000000000  00001 0000000000000000
Frame 0636    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0637    0001 000000001fffe3fc  00000 0000000000000000  00000 0000000000000000
Frame 0638    0000 000000001fffe3fc  01101 0000000000000000  01101 0000000000000000
Frame 0639    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0640    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0641    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0642    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0643    0001 0000000001000400  00001 0000000000000000  00001 0000000000000000
Frame 0644    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0645    0001 000000004bfbe1fe  00000 0000000000000000  00000 0000000000000000
Frame 0646    0000 000000004bfbe1fe  01101 0000000000000000  01101 0000000000000000
Frame 0647    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0648    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0649    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0650    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0651    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0652    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0653    0001 000000003fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0654    0000 000000003fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0655    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0656    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0657    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0658    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0659    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0660    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0661    0001 000000007bf5e2fc  00000 0000000000000000  00000 0000000000000000
Frame 0662    0000 000000007bf5e2fc  01101 0000000000000000  01101 0000000000000000
Frame 0663    0101 0000000013650000  00001 0000000000000000  00001 0000000000000000
Frame 0664    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0665    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0666    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0667    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0668    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0669    0001 000000006ffe867e  00000 0000000000000000  00000 0000000000000000
Frame 0670    0000 000000006ffe867e  01101 0000000000000000  01101 0000000000000000
Frame 0671    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0672    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0673    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0674    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0675    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0676    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0677    0001 000000007fffe6fe  00000 0000000000000000  00000 0000000000000000
Frame 0678    0000 000000007fffe6fe  01101 0000000000000000  01101 0000000000000000
Frame 0679    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0680    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0681    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0682    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0683    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0684    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0685    0001 000000003fffe15e  00000 0000000000000000  00000 0000000000000000
Frame 0686    0000 000000003fffe15e  01101 0000000000000000  01101 0000000000000000
Frame 0687    0101 000000001d178400  00001 0000000000000000  00001 0000000000000000
Frame 0688    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0689    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0690    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0691    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0692    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0693    0001 000000004fffe67c  00000 0000000000000000  00000 0000000000000000
Frame 0694    0000 000000004fffe67c  01101 0000000000000000  01101 0000000000000000
Frame 0695    0101 000000001b26e800  00001 0000000000000000  00001 0000000000000000
Frame 0696    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0697    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0698    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0699    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0700    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0701    0001 000000007fbfc1fe  00000 0000000000000000  00000 0000000000000000
Frame 0702    0000 000000007fbfc1fe  01101 0000000000000000  01101 0000000000000000
Frame 0703    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0704    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0705    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0706    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0707    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0708    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0709    0001 000000004fffa1fe  00000 0000000000000000  00000 0000000000000000
Frame 0710    0000 000000004fffa1fe  01101 0000000000000000  01101 0000000000000000
Frame 0711    0101 0000000014a54800  00001 0000000000000000  00001 0000000000000000
Frame 0712    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0713    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0714    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0715    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
