﻿
﻿﻿﻿﻿p1,124.2,80.6,0.154
p2,38.8,71.6,0.531
p3,0,0,0.393
p4,50.5,-69.4,0.461
p5,131.9,-67.2,0.377
p6,166.9,11.2,0.418
p7,93.1,4.6,0.745
p8,124.2,244.7,-0.037
p9,38.8,235.7,-0.098
p10,0,164.1,0.052
p11,50.5,94.7,-0.021
p12,131.9,96.9,0.058
p13,166.9,175.3,-0.058
p14,93.1,168.7,0.327
p15,124.2,408.8,0.232
p16,38.8,399.8,0.112
p17,0,328.2,0.081
p18,50.5,258.8,0.141
p19,131.9,261,0.159
p20,166.9,339.4,0.224
p21,93.1,332.8,0.455
p22,124.2,572.9,0.345
p23,38.8,563.9,0.247
p24,0,492.3,0.099
p25,50.5,422.9,0.223
p26,131.9,425.1,0.229
p27,166.9,503.5,0.353
p28,93.1,496.9,0.469
p29,124.2,737,0.453
p30,38.8,728,0.205
p31,0,656.4,0.087
p32,50.5,587,0.34
p33,131.9,589.2,0.587
p34,166.9,667.6,0.411
p35,93.1,661,0.85
p36,124.2,901.1,0.078
p37,38.8,892.1,0.047
p38,0,820.5,0.243
p39,50.5,751.1,0.142
p40,131.9,753.3,0.374
p41,166.9,831.7,0.196
p42,93.1,825.1,0.367
p43,124.2,1065.2,-0.134
p44,38.8,1056.2,0.029
p45,0,984.6,0.293
p46,50.5,915.2,0.071
p47,131.9,917.4,0.072
p48,166.9,995.8,0.093
p49,93.1,989.2,0.42
p50,124.2,1229.3,0.259
p51,38.8,1220.3,0.267
p52,0,1148.7,0.138
p53,50.5,1079.3,0.09
p54,131.9,1081.5,-0.012
p55,166.9,1159.9,-0.01
p56,93.1,1153.3,0.423
p57,266.3,-1.45,0.183
p58,180.9,-10.45,0.368
p59,142.1,-82.05,0.407
p60,192.6,-151.45,0.58
p61,274,-149.25,0.567
p62,309,-70.85,0.355
p63,235.2,-77.45,0.615
p64,266.3,162.65,0.175
p65,180.9,153.65,0.355
p66,142.1,82.05,0.257
p67,192.6,12.65,0.314
p68,274,14.85,0.122
p69,309,93.25,0.069
p70,235.2,86.65,0.581
p71,266.3,326.75,0.436
p72,180.9,317.75,0.54
p73,142.1,246.15,0.248
p74,192.6,176.75,0.315
p75,274,178.95,0.237
p76,309,257.35,0.234
p77,235.2,250.75,0.584
p78,266.3,490.85,0.539
p79,180.9,481.85,0.502
p80,142.1,410.25,0.417
p81,192.6,340.85,0.408
p82,274,343.05,0.296
p83,309,421.45,0.419
p84,235.2,414.85,0.712
p85,266.3,654.95,0.583
p86,180.9,645.95,0.451
p87,142.1,574.35,0.574
p88,192.6,504.95,0.449
p89,274,507.15,0.516
p90,309,585.55,0.681
p91,235.2,578.95,0.856
p92,266.3,819.05,0.394
p93,180.9,810.05,0.356
p94,142.1,738.45,0.412
p95,192.6,669.05,0.482
p96,274,671.25,0.602
p97,309,749.65,0.685
p98,235.2,743.05,0.996
p99,266.3,983.15,0.227
p100,180.9,974.15,0.049
p101,142.1,902.55,0.205
p102,192.6,833.15,0.432
p103,274,835.35,0.56
p104,309,913.75,0.381
p105,235.2,907.15,0.592
p106,266.3,1147.25,-0.016
p107,180.9,1138.25,0.033
p108,142.1,1066.65,0.011
p109,192.6,997.25,0.165
p110,274,999.45,0.228
p111,309,1077.85,0.104
p112,235.2,1071.25,0.258
