﻿﻿p1,124.2,80.6,2.934
p2,38.8,71.6,2.525
p3,0,0,2.506
p4,50.5,-69.4,2.487
p5,131.9,-67.2,2.472
p6,166.9,11.2,2.492
p7,93.1,4.6,2.786
p8,124.2,244.7,1.879
p9,38.8,235.7,2.098
p10,0,164.1,2.104
p11,50.5,94.7,2.044
p12,131.9,96.9,2.177
p13,166.9,175.3,1.976
p14,93.1,168.7,2.332
p15,124.2,408.8,2.241
p16,38.8,399.8,2.169
p17,0,328.2,2.118
p18,50.5,258.8,2.178
p19,131.9,261,2.155
p20,166.9,339.4,2.296
p21,93.1,332.8,2.517
p22,124.2,572.9,2.445
p23,38.8,563.9,2.275
p24,0,492.3,2.164
p25,50.5,422.9,2.29
p26,131.9,425.1,2.294
p27,166.9,503.5,2.417
p28,93.1,496.9,2.492
p29,124.2,737,2.487
p30,38.8,728,2.248
p31,0,656.4,2.192
p32,50.5,587,2.402
p33,131.9,589.2,2.643
p34,166.9,667.6,2.459
p35,93.1,661,2.877
p36,124.2,901.1,2.113
p37,38.8,892.1,2.085
p38,0,820.5,2.141
p39,50.5,751.1,2.227
p40,131.9,753.3,2.454
p41,166.9,831.7,2.248
p42,93.1,825.1,2.416
p43,124.2,1065.2,1.893
p44,38.8,1056.2,2.044
p45,0,984.6,2.355
p46,50.5,915.2,2.124
p47,131.9,917.4,2.105
p48,166.9,995.8,2.175
p49,93.1,989.2,2.452
p50,124.2,1229.3,2.254
p51,38.8,1220.3,2.311
p52,0,1148.7,2.176
p53,50.5,1079.3,2.152
p54,131.9,1081.5,2.061
p55,166.9,1159.9,1.988
p56,93.1,1153.3,2.475
p57,266.3,-1.45,2.248
p58,180.9,-10.45,2.434
p59,142.1,-82.05,2.43
p60,192.6,-151.45,2.656
p61,274,-149.25,2.655
p62,309,-70.85,2.38
p63,235.2,-77.45,2.663
p64,266.3,162.65,2.25
p65,180.9,153.65,2.319
p66,142.1,82.05,2.285
p67,192.6,12.65,2.359
p68,274,14.85,2.218
p69,309,93.25,2.149
p70,235.2,86.65,2.598
p71,266.3,326.75,2.467
p72,180.9,317.75,2.467
p73,142.1,246.15,2.294
p74,192.6,176.75,2.352
p75,274,178.95,2.291
p76,309,257.35,2.294
p77,235.2,250.75,2.575
p78,266.3,490.85,2.583
p79,180.9,481.85,2.616
p80,142.1,410.25,2.444
p81,192.6,340.85,2.467
p82,274,343.05,2.355
p83,309,421.45,2.422
p84,235.2,414.85,2.756
p85,266.3,654.95,2.551
p86,180.9,645.95,2.532
p87,142.1,574.35,2.628
p88,192.6,504.95,2.587
p89,274,507.15,2.44
p90,309,585.55,2.743
p91,235.2,578.95,2.885
p92,266.3,819.05,2.45
p93,180.9,810.05,2.487
p94,142.1,738.45,2.513
p95,192.6,669.05,2.536
p96,274,671.25,2.663
p97,309,749.65,2.737
p98,235.2,743.05,3.054
p99,266.3,983.15,2.244
p100,180.9,974.15,2.22
p101,142.1,902.55,2.266
p102,192.6,833.15,2.473
p103,274,835.35,2.669
p104,309,913.75,2.434
p105,235.2,907.15,2.569
p106,266.3,1147.25,2.014
p107,180.9,1138.25,2.063
p108,142.1,1066.65,2.038
p109,192.6,997.25,2.202
p110,274,999.45,2.258
p111,309,1077.85,2.176
p112,235.2,1071.25,2.345
