﻿p1,124.2,80.6,1.765
p2,38.8,71.6,2.021
p3,0,0,2.088
p4,50.5,-69.4,2.09
p5,131.9,-67.2,2.051
p6,166.9,11.2,2.199
p7,93.1,4.6,2.987
p8,124.2,244.7,1.52
p9,38.8,235.7,1.638
p10,0,164.1,1.559
p11,50.5,94.7,1.613
p12,131.9,96.9,1.69
p13,166.9,175.3,1.656
p14,93.1,168.7,2.374
p15,124.2,408.8,1.68
p16,38.8,399.8,1.588
p17,0,328.2,1.593
p18,50.5,258.8,1.623
p19,131.9,261,1.588
p20,166.9,339.4,1.793
p21,93.1,332.8,1.874
p22,124.2,572.9,1.82
p23,38.8,563.9,1.817
p24,0,492.3,1.675
p25,50.5,422.9,1.752
p26,131.9,425.1,1.806
p27,166.9,503.5,1.926
p28,93.1,496.9,1.826
p29,124.2,737,2.02
p30,38.8,728,1.879
p31,0,656.4,1.777
p32,50.5,587,2.023
p33,131.9,589.2,2.163
p34,166.9,667.6,2.094
p35,93.1,661,3.057
p36,124.2,901.1,1.599
p37,38.8,892.1,1.717
p38,0,820.5,1.707
p39,50.5,751.1,1.802
p40,131.9,753.3,2.014
p41,166.9,831.7,1.942
p42,93.1,825.1,2.563
p43,124.2,1065.2,1.383
p44,38.8,1056.2,1.706
p45,0,984.6,1.823
p46,50.5,915.2,1.75
p47,131.9,917.4,1.718
p48,166.9,995.8,1.736
p49,93.1,989.2,2.54
p50,124.2,1229.3,1.738
p51,38.8,1220.3,1.953
p52,0,1148.7,1.655
p53,50.5,1079.3,1.7
p54,131.9,1081.5,1.679
p55,166.9,1159.9,1.531
p56,93.1,1153.3,2.574
p57,266.3,-1.45,1.734
p58,180.9,-10.45,1.967
p59,142.1,-82.05,2.011
p60,192.6,-151.45,2.168
p61,274,-149.25,2.11
p62,309,-70.85,1.986
p63,235.2,-77.45,2.752
p64,266.3,162.65,1.824
p65,180.9,153.65,1.905
p66,142.1,82.05,1.836
p67,192.6,12.65,1.976
p68,274,14.85,1.79
p69,309,93.25,1.725
p70,235.2,86.65,2.636
p71,266.3,326.75,1.905
p72,180.9,317.75,2.077
p73,142.1,246.15,1.78
p74,192.6,176.75,1.825
p75,274,178.95,1.729
p76,309,257.35,1.904
p77,235.2,250.75,2.704
p78,266.3,490.85,2.043
p79,180.9,481.85,2.168
p80,142.1,410.25,1.862
p81,192.6,340.85,1.993
p82,274,343.05,2.004
p83,309,421.45,2.091
p84,235.2,414.85,2.793
p85,266.3,654.95,2.018
p86,180.9,645.95,2.165
p87,142.1,574.35,2.105
p88,192.6,504.95,2.197
p89,274,507.15,2.049
p90,309,585.55,2.386
p91,235.2,578.95,2.963
p92,266.3,819.05,1.918
p93,180.9,810.05,2.016
p94,142.1,738.45,2.01
p95,192.6,669.05,2.069
p96,274,671.25,2.21
p97,309,749.65,2.322
p98,235.2,743.05,3.137
p99,266.3,983.15,1.718
p100,180.9,974.15,1.706
p101,142.1,902.55,1.693
p102,192.6,833.15,1.947
p103,274,835.35,2.098
p104,309,913.75,1.932
p105,235.2,907.15,2.632
p106,266.3,1147.25,1.416
p107,180.9,1138.25,1.536
p108,142.1,1066.65,1.487
p109,192.6,997.25,1.757
p110,274,999.45,1.792
p111,309,1077.85,1.735
p112,235.2,1071.25,2.506
