
p1,124.2,80.6,-0.159
p2,38.8,71.6,-0.097
p3,0,0,-0.061
p4,50.5,-69.4,-0.032
p5,131.9,-67.2,-0.117
p6,166.9,11.2,-0.065
p7,93.1,4.6,0.297
p1,124.2,80.6,-0.057
p2,38.8,71.6,0.173
p3,0,0,0.155
p4,50.5,-69.4,0.081
p5,131.9,-67.2,-0.007
p6,166.9,11.2,-0.021
p7,93.1,4.6,0.465
p8,124.2,244.7,-0.326
p9,38.8,235.7,-0.335
p10,0,164.1,-0.226
p11,50.5,94.7,0.283
p12,131.9,96.9,-0.318
p13,166.9,175.3,-0.437
p14,93.1,168.7,0.072
p15,124.2,408.8,-0.144
p16,38.8,399.8,-0.167
p17,0,328.2,-0.272
p18,50.5,258.8,-0.139
p19,131.9,261,-0.254
p20,166.9,339.4,-0.168
p21,93.1,332.8,0.242
p22,124.2,572.9,-0.01
p23,38.8,563.9,-0.156
p24,0,492.3,-0.281
p25,50.5,422.9,-0.111
p26,131.9,425.1,-0.116
p27,166.9,503.5,0.035
p28,93.1,496.9,0.191
p29,124.2,737,0.07
p30,38.8,728,-0.099
p31,0,656.4,-0.225
p32,50.5,587,-0.016
p33,131.9,589.2,0.237
p34,166.9,667.6,0.052
p35,93.1,661,0.663
p36,124.2,901.1,-0.131
p37,38.8,892.1,-0.168
p38,0,820.5,-0.219
p39,50.5,751.1,-0.082
p40,131.9,753.3,0.084
p41,166.9,831.7,0.029
p42,93.1,825.1,0.11
p43,124.2,1065.2,-0.25
p44,38.8,1056.2,-0.066
p45,0,984.6,0.03
p46,50.5,915.2,-0.22
p47,131.9,917.4,-0.161
p48,166.9,995.8,0.027
p49,93.1,989.2,0.23
p50,124.2,1229.3,0.344
p51,38.8,1220.3,0.408
p52,0,1148.7,0.177
p53,50.5,1079.3,-0.036
p54,131.9,1081.5,-0.11
p55,166.9,1159.9,0.05
p56,93.1,1153.3,0.572
p57,266.3,-1.45,-0.227
p58,180.9,-10.45,-0.066
p59,142.1,-82.05,0.015
p60,192.6,-151.45,0.083
p61,274,-149.25,0.06
p62,309,-70.85,-0.186
p63,235.2,-77.45,0.269
p64,266.3,162.65,-0.168
p65,180.9,153.65,-0.077
p66,142.1,82.05,-0.126
p67,192.6,12.65,-0.079
p68,274,14.85,-0.21
p69,309,93.25,-0.251
p70,235.2,86.65,0.229
p71,266.3,326.75,0.201
p72,180.9,317.75,0.145
p73,142.1,246.15,-0.075
p74,192.6,176.75,0
