﻿
﻿﻿﻿p1,124.2,80.6,-0.428
p2,38.8,71.6,-0.146
p3,0,0,-0.216
p4,50.5,-69.4,-0.243
p5,131.9,-67.2,-0.389
﻿p1,124.2,80.6,-0.493
p2,38.8,71.6,-0.169
p3,0,0,-0.077
p4,50.5,-69.4,-0.262
p5,131.9,-67.2,-0.452
p6,166.9,11.2,-0.299
p7,93.1,4.6,0.058
p8,124.2,244.7,-0.731
p9,38.8,235.7,-0.647
p10,0,164.1,-0.73
p11,50.5,94.7,-0.648
p12,131.9,96.9,-0.723
p13,166.9,175.3,-0.701
p14,93.1,168.7,-0.338
p15,124.2,408.8,-0.352
p16,38.8,399.8,-0.505
p17,0,328.2,-0.514
p18,50.5,258.8,-0.517
p19,131.9,261,-0.57
p20,25108406941546723000000000000000000000000000000000000000000,-3138550867693340400000000000000000000000000000000000000000,-47953259569867710000000000000000000000000000000000000000000000000000000000000
p21,93.1,332.8,-0.161
p22,124.2,572.9,-0.155
p23,38.8,563.9,-0.242
p24,0,492.3,-0.355
p25,50.5,422.9,-0.337
p26,131.9,425.1,-0.217
p27,166.9,503.5,-0.19
p28,93.1,496.9,-0.03
p29,124.2,737,0.01
p30,38.8,728,-0.143
p31,0,656.4,-0.22
p32,50.5,587,-0.11
p33,131.9,589.2,0.161
p34,166.9,667.6,-0.003
p35,93.1,661,0.392
p36,124.2,901.1,-0.259
p37,38.8,892.1,-0.252
p38,0,820.5,-0.027
p39,50.5,751.1,-0.487
p40,131.9,753.3,-0.067
p41,166.9,831.7,-0.147
p42,93.1,825.1,0.033
p43,124.2,1065.2,-0.418
p44,38.8,1056.2,-0.178
p45,0,984.6,-0.037
p46,50.5,915.2,-0.176
p47,131.9,917.4,-0.258
p48,166.9,995.8,-0.163
p49,93.1,989.2,0.082
p50,124.2,1229.3,0.072
p51,38.8,1220.3,0.064
p52,0,1148.7,-0.061
p53,50.5,1079.3,-0.192
p54,131.9,1081.5,-0.209
p55,166.9,1159.9,-0.285
p56,93.1,1153.3,0.174
p57,266.3,-1.45,-0.653
p58,180.9,-10.45,-0.457
p59,142.1,-82.05,-0.342
p60,192.6,-151.45,-0.284
p61,274,-149.25,-0.34
p62,309,-70.85,-0.582
p63,235.2,-77.45,-0.241
p64,266.3,162.65,-0.673
p65,180.9,153.65,-0.419
p66,142.1,82.05,-0.535
p67,192.6,12.65,-0.466
p68,274,14.85,-0.641
p69,309,93.25,-0.799
p70,235.2,86.65,-0.209
p71,266.3,326.75,-0.323
p72,180.9,317.75,-0.319
p73,142.1,246.15,-0.363
p74,192.6,176.75,-0.407
p75,274,178.95,-0.524
p76,309,257.35,-0.532
p77,235.2,250.75,-0.075
p78,266.3,490.85,-0.072
p79,180.9,481.85,-0.067
p80,142.1,410.25,-0.234
p81,192.6,340.85,-0.222
p82,274,343.05,-0.433
p83,309,421.45,-0.285
p84,235.2,414.85,0.105
p85,266.3,654.95,0.051
p86,180.9,645.95,0.008
p87,142.1,574.35,0.116
p88,192.6,504.95,-0.098
p89,274,507.15,-0.073
p90,309,585.55,0.186
p91,235.2,578.95,0.328
p92,266.3,819.05,0.003
p93,180.9,810.05,-0.027
p94,142.1,738.45,0.008
p95,192.6,669.05,0.059
p96,274,671.25,0.171
p97,309,749.65,0.265
p98,235.2,743.05,0.612
p99,266.3,983.15,-0.127
p100,180.9,974.15,-0.073
p101,142.1,902.55,-0.333
p102,192.6,833.15,0.052
p103,274,835.35,0.234
p104,309,913.75,0.058
p105,235.2,907.15,0.234
p106,266.3,1147.25,-0.224
p107,180.9,1138.25,-0.273
p108,142.1,1066.65,-0.294
p109,192.6,997.25,-0.127
p110,274,999.45,-0.064
p111,309,1077.85,-0.137
p112,235.2,1071.25,0.007
