﻿﻿p1,124.2,80.6,2.244
p2,38.8,71.6,2.574
p3,0,0,2.489
p4,50.5,-69.4,2.465
p5,131.9,-67.2,2.456
p6,166.9,11.2,2.491
p7,93.1,4.6,2.769
p8,124.2,244.7,1.922
p9,38.8,235.7,2.051
p10,0,164.1,2.111
p11,50.5,94.7,1.976
p12,131.9,96.9,2.136
p13,166.9,175.3,1.959
p14,93.1,168.7,2.33
p15,124.2,408.8,2.243
p16,38.8,399.8,2.216
p17,0,328.2,2.118
p18,50.5,258.8,2.13
p19,131.9,261,2.141
p20,166.9,339.4,2.28
p21,93.1,332.8,2.489
p22,124.2,572.9,2.439
p23,38.8,563.9,2.245
p24,0,492.3,2.174
p25,50.5,422.9,2.265
p26,131.9,425.1,2.32
p27,166.9,503.5,2.405
p28,93.1,496.9,2.486
p29,124.2,737,2.49
p30,38.8,728,2.246
p31,0,656.4,2.155
p32,50.5,587,2.402
p33,131.9,589.2,2.616
p34,166.9,667.6,2.431
p35,93.1,661,2.859
p36,124.2,901.1,2.095
p37,38.8,892.1,2.047
p38,0,820.5,2.147
p39,50.5,751.1,2.226
p40,131.9,753.3,2.474
p41,166.9,831.7,2.281
p42,93.1,825.1,2.384
p43,124.2,1065.2,1.886
p44,38.8,1056.2,2.031
p45,0,984.6,2.359
p46,50.5,915.2,2.086
p47,131.9,917.4,2.112
p48,166.9,995.8,2.186
p49,93.1,989.2,2.434
p50,124.2,1229.3,2.29
p51,38.8,1220.3,2.282
p52,0,1148.7,2.203
p53,50.5,1079.3,2.136
p54,131.9,1081.5,2.042
p55,166.9,1159.9,2.033
p56,93.1,1153.3,2.462
p57,266.3,-1.45,2.225
p58,180.9,-10.45,2.408
p59,142.1,-82.05,2.413
p60,192.6,-151.45,2.651
p61,274,-149.25,2.635
p62,309,-70.85,2.403
p63,235.2,-77.45,2.667
p64,266.3,162.65,2.234
p65,180.9,153.65,2.306
p66,142.1,82.05,2.294
p67,192.6,12.65,2.349
p68,274,14.85,2.223
p69,309,93.25,2.182
p70,235.2,86.65,2.607
p71,266.3,326.75,2.471
p72,180.9,317.75,2.46
p73,142.1,246.15,2.287
p74,192.6,176.75,2.313
p75,274,178.95,2.293
p76,309,257.35,2.312
p77,235.2,250.75,2.572
p78,266.3,490.85,2.575
p79,180.9,481.85,2.638
p80,142.1,410.25,2.46
p81,192.6,340.85,2.457
p82,274,343.05,2.345
p83,309,421.45,2.445
p84,235.2,414.85,2.72
p85,266.3,654.95,2.555
p86,180.9,645.95,2.535
p87,142.1,574.35,2.637
p88,192.6,504.95,2.505
p89,274,507.15,2.475
p90,309,585.55,2.743
p91,235.2,578.95,2.879
p92,266.3,819.05,2.456
p93,180.9,810.05,2.471
p94,142.1,738.45,2.494
p95,192.6,669.05,2.534
p96,274,671.25,2.667
p97,309,749.65,2.729
p98,235.2,743.05,3.099
p99,266.3,983.15,2.245
p100,180.9,974.15,2.211
p101,142.1,902.55,2.262
p102,192.6,833.15,2.464
p103,274,835.35,2.608
p104,309,913.75,2.405
p105,235.2,907.15,2.586
p106,266.3,1147.25,1.989
p107,180.9,1138.25,2.014
p108,142.1,1066.65,2.031
p109,192.6,997.25,2.193
p110,274,999.45,2.251
p111,309,1077.85,2.141
p112,235.2,1071.25,2.338
