p169,692.6,901.1,0.649
p170,607.2,892.1,0.712
p171,568.4,820.5,0.806
p172,618.9,751.1,0.704
p173,700.3,753.3,0.647
p174,735.3,831.7,0.54
p175,661.5,825.1,0.539
p176,692.6,1065.2,0.443
p177,607.2,1056.2,0.478
p178,568.4,984.6,0.616
p179,618.9,915.2,0.75
p180,700.3,917.4,0.848
p181,735.3,995.8,0.594
p182,673.3,991.6,0.485
p1,124.2,80.6,1.816
p2,38.8,71.6,1.107
p3,0,0,-0.28
p4,50.5,-69.4,0.976
p5,131.9,-67.2,1.25
p6,166.9,11.2,0.497
p7,93.1,4.6,0.569
p8,124.2,244.7,0.847
p9,38.8,235.7,0.508
p10,0,164.1,0.468
p11,50.5,94.7,0.704
p12,131.9,96.9,0.914
p13,166.9,175.3,0.977
p14,93.1,168.7,0.621
p1,124.2,80.6,1.771
p2,38.8,71.6,1.117
p3,0,0,-0.274
p4,50.5,-69.4,0.977
p5,131.9,-67.2,1.211
p6,166.9,11.2,0.484
p7,93.1,4.6,0.532
p8,124.2,244.7,0.848
p9,38.8,235.7,0.503
p10,0,164.1,0.452
p11,50.5,94.7,0.687
p12,131.9,96.9,0.945
p13,166.9,175.3,0.959
p14,93.1,168.7,0.621
p1,124.2,80.6,1.841
p2,38.8,71.6,1.105
p3,0,0,-0.28
p4,50.5,-69.4,0.98
p5,131.9,-67.2,1.214
p6,166.9,11.2,0.485
p7,93.1,4.6,0.558
p8,124.2,244.7,0.86
p9,38.8,235.7,0.5
p10,0,164.1,0.447
p11,50.5,94.7,0.692
p12,131.9,96.9,0.92
p13,166.9,175.3,0.958
p14,93.1,168.7,0.619
p1,124.2,80.6,1.883
p2,38.8,71.6,1.101
p3,0,0,-0.283
p4,50.5,-69.4,0.972
p5,131.9,-67.2,1.208
p6,166.9,11.2,0.473
p7,93.1,4.6,0.569
p8,124.2,244.7,0.823
p9,38.8,235.7,0.501
p10,0,164.1,0.459
p11,50.5,94.7,0.684
p12,131.9,96.9,0.939
p13,166.9,175.3,0.985
p14,93.1,168.7,0.623
p1,124.2,80.6,1.881
p2,38.8,71.6,1.107
p3,0,0,-0.286
p4,50.5,-69.4,0.962
p5,131.9,-67.2,1.205
p6,166.9,11.2,0.48
p7,93.1,4.6,0.571
p8,124.2,244.7,0.857
p9,38.8,235.7,0.51
p10,0,164.1,0.447
p11,50.5,94.7,0.7
p12,131.9,96.9,0.941
p13,166.9,175.3,0.967
p14,93.1,168.7,0.619
p15,124.2,408.8,-0.41
p16,38.8,399.8,-0.666
p17,0,328.2,0.03
p18,50.5,258.8,0.695
p19,131.9,261,0.82
p20,166.9,339.4,-0.008
p21,93.1,332.8,-0.243
p1,124.2,80.6,1.832
p2,38.8,71.6,1.107
p3,0,0,-0.291
p4,50.5,-69.4,0.943
p5,131.9,-67.2,1.179
p6,166.9,11.2,0.449
p7,93.1,4.6,0.514
p8,124.2,244.7,0.836
p9,38.8,235.7,0.527
p10,0,164.1,0.426
p11,50.5,94.7,0.679
p12,131.9,96.9,0.926
p13,166.9,175.3,0.952
p1,124.2,80.6,1.803
p2,38.8,71.6,1.099
p3,0,0,-0.289
p4,50.5,-69.4,0.96
p5,131.9,-67.2,1.201
p6,166.9,11.2,0.487
p7,93.1,4.6,0.54
p8,124.2,244.7,0.831
p9,38.8,235.7,0.504
p10,0,164.1,0.446
p11,50.5,94.7,0.699
p12,131.9,96.9,0.928
p13,166.9,175.3,0.958
p14,93.1,168.7,0.633
p15,124.2,408.8,-0.409
p16,38.8,399.8,-0.654
p17,0,328.2,0.024
p18,50.5,258.8,0.665
p19,131.9,261,0.832
p20,166.9,339.4,-0.011
p21,93.1,332.8,-0.22
p1,124.2,80.6,1.779
p2,38.8,71.6,1.095
p3,0,0,-0.341
p4,50.5,-69.4,0.847
p5,131.9,-67.2,1.081
p6,166.9,11.2,0.421
p7,93.1,4.6,0.445
p8,124.2,244.7,0.752
p9,38.8,235.7,0.437
p10,0,164.1,0.416
p11,50.5,94.7,0.611
p12,131.9,96.9,1.065
p13,166.9,175.3,0.855
p14,93.1,168.7,0.544
p15,124.2,408.8,-0.483
p16,38.8,399.8,-0.667
p17,0,328.2,0.018
p18,50.5,258.8,0.636
p19,131.9,261,0.557
p20,166.9,339.4,-0.033
p21,93.1,332.8,-0.278
p1,124.2,80.6,1.81
p2,38.8,71.6,1.125
p3,0,0,-0.335
p4,50.5,-69.4,0.916
p5,131.9,-67.2,1.085
p6,166.9,11.2,0.413
p7,93.1,4.6,0.482
p8,124.2,244.7,0.781
p9,38.8,235.7,0.448
p10,0,164.1,0.434
p11,50.5,94.7,0.651
p12,131.9,96.9,1.093
p13,166.9,175.3,0.868
p14,93.1,168.7,0.558
p15,124.2,408.8,-0.519
p16,38.8,399.8,-0.703
p17,0,328.2,0.043
p18,50.5,258.8,0.621
p1,124.2,80.6,1.835
p2,38.8,71.6,1.116
p3,0,0,-0.33
p4,50.5,-69.4,0.88
p5,131.9,-67.2,1.081
p6,166.9,11.2,0.388
p7,93.1,4.6,0.487
p8,124.2,244.7,0.787
p9,38.8,235.7,0.441
p10,0,164.1,0.435
p11,50.5,94.7,0.641
p12,131.9,96.9,1.106
p13,166.9,175.3,0.896
p14,93.1,168.7,0.578
p15,124.2,408.8,-0.443
p16,38.8,399.8,-0.669
p17,0,328.2,0.035
p18,50.5,258.8,0.607
p19,131.9,261,0.543
p20,166.9,339.4,-0.022
p21,93.1,332.8,-0.262
p1,124.2,80.6,0.543
p2,38.8,71.6,0.23
p3,0,0,-0.211
p4,50.5,-69.4,0.23
p5,131.9,-67.2,0.233
p6,166.9,11.2,0.043
p7,93.1,4.6,0.294
p8,124.2,244.7,0.764
p9,38.8,235.7,0.383
p10,0,164.1,0.375
p11,50.5,94.7,0.452
p12,131.9,96.9,0.761
p13,166.9,175.3,0.41
p14,93.1,168.7,0.294
p15,124.2,408.8,-0.802
p16,38.8,399.8,-0.828
p17,0,328.2,-0.054
p18,50.5,258.8,0.431
p19,131.9,261,0.166
p20,166.9,339.4,-0.477
p21,93.1,332.8,-0.528
p1,124.2,80.6,0.284
p2,38.8,71.6,0.187
p3,0,0,0.031
p4,50.5,-69.4,0.401
p1,124.2,80.6,2.082
p2,38.8,71.6,1.565
p3,0,0,0.009
p4,50.5,-69.4,1.074
p5,131.9,-67.2,1.281
p6,166.9,11.2,0.523
p7,93.1,4.6,0.754
p8,124.2,244.7,1.093
p9,38.8,235.7,0.888
p10,0,164.1,0.824
p11,50.5,94.7,0.938
p12,131.9,96.9,1.015
p13,166.9,175.3,1.038
p14,93.1,168.7,0.845
p15,124.2,408.8,-0.135
p16,38.8,399.8,-0.23
p17,0,328.2,0.51
p18,50.5,258.8,0.984
p19,131.9,261,0.896
p20,166.9,339.4,0.191
p21,93.1,332.8,0.105
p1,124.2,80.6,1.943
p1,124.2,80.6,1.933
p2,38.8,71.6,1.38
p3,0,0,-0.087
p4,50.5,-69.4,1.033
p5,131.9,-67.2,1.114
p6,166.9,11.2,0.346
p7,93.1,4.6,0.616
p8,124.2,244.7,0.798
p9,38.8,235.7,0.613
p10,0,164.1,0.618
p1,124.2,80.6,1.924
p2,38.8,71.6,1.343
p3,0,0,-0.084
p4,50.5,-69.4,0.985
p5,131.9,-67.2,1.07
p6,166.9,11.2,0.321
p7,93.1,4.6,0.579
p8,124.2,244.7,0.763
p9,38.8,235.7,0.64
p1,124.2,80.6,1.638
p2,38.8,71.6,1.073
p3,0,0,-0.434
p4,50.5,-69.4,0.665
p5,131.9,-67.2,0.755
p6,166.9,11.2,0.022
p7,93.1,4.6,0.305
p1,124.2,80.6,1.776
p2,38.8,71.6,1.317
p3,0,0,-0.063
p4,50.5,-69.4,0.933
